YEAR,NAME,BIRTHS,DEATHS,NETMIG,POPEST,NATINC,NPOPCHG,RBIRTHS,RDEATHS,RNETMIG,RNATINC,RPOPCHG
2010,15-County Region,29733,16896,4624,2186769,12837,17461,13.596772224226703,7.726467679027826,2.1145351886733352,5.870304545198876,7.984839733872211
2011,15-County Region,29705,17067,7141,2206291,12638,19779,13.46377245793959,7.735606953026594,3.2366537324405527,5.7281655049129965,8.964819237353549
2012,15-County Region,30059,17666,6812,2225767,12393,19205,13.505007487306624,7.937039231869284,3.0605180146888693,5.567968255437339,8.628486270126208
2013,15-County Region,30594,17563,13895,2252245,13031,26926,13.583779739770764,7.7979971095506935,6.169399865467567,5.785782630220069,11.955182495687637
2014,15-County Region,30746,17974,14362,2279644,12772,27134,13.487193614441555,7.884564431990259,6.300106507858245,5.602629182451295,11.902735690309541
2015,15-County Region,31067,19181,13548,2304910,11886,25434,13.478617386362158,8.321799983513456,5.877886772151625,5.156817402848701,11.034704175000327
2016,15-County Region,30811,19140,12309,2329214,11671,23980,13.228067494013002,8.217364312596438,5.284615325169779,5.010703181416564,10.295318506586343
2017,15-County Region,30594,19999,19739,2360060,10595,30334,12.963229748396227,8.473937103293984,8.36377041261663,4.4892926451022435,12.853063057718872
2018,15-County Region,30280,20319,11555,2382390,9961,21516,12.709925746834061,8.528830292269529,4.850171466468547,4.1810954545645345,9.031266921033081
2019,15-County Region,30199,20491,7690,2400549,9708,17398,12.580038982749363,8.535964064886825,3.20343388116635,4.044074917862539,7.247508799028889
2020,15-County Region,28783,23562,3564,2422226,5221,8785,11.88287137533822,9.72741602146125,1.4713738519857353,2.1554553538769707,3.6268292058627063
2021,15-County Region,29233,24512,-569,2426372,4721,4152,12.048028909004886,10.102325612066082,-0.23450649776703655,1.9457032969388042,1.7111967991717676
2022,15-County Region,29100,23118,11314,2441273,5982,17296,11.9200105846417,9.469649645901953,4.634467345520144,2.4503609387397476,7.084828284259892
2023,15-County Region,28669,21815,11399,2459817,6854,18253,11.654932053888562,8.868545912155254,4.634084568079658,2.786386141733308,7.420470709812966
2010,Delaware,2178,911,2388,175099,1267,3655,12.438677548129915,5.202771003832118,13.637999074809109,7.235906544297798,20.873905619106907
2011,Delaware,2088,899,2259,178535,1189,3448,11.695185817906854,5.035427227154339,12.652981208166466,6.659758590752514,19.31273979891898
2012,Delaware,2084,989,1399,181127,1095,2494,11.505739067063441,5.460257167622718,7.723862262390477,6.045481899440723,13.769344161831201
2013,Delaware,2194,989,3030,185380,1205,4235,11.835149422807207,5.33498759305211,16.344805264861368,6.500161829755098,22.844967094616464
2014,Delaware,2213,1031,2777,189440,1182,3959,11.681798986486486,5.442356418918919,14.658994932432433,6.2394425675675675,20.8984375
2015,Delaware,2231,1069,2819,193391,1162,3981,11.53621419817882,5.5276615768055395,14.576686608994214,6.008552621373281,20.585239230367495
2016,Delaware,2123,1143,2696,197144,980,3676,10.768778152010713,5.797792476565353,13.675283041837439,4.97098567544536,18.646268717282798
