YEAR,NAME,VARIABLE,VALUE
2010,15-County Region,BIRTHS,29733.0
2011,15-County Region,BIRTHS,29705.0
2012,15-County Region,BIRTHS,30059.0
2013,15-County Region,BIRTHS,30594.0
2014,15-County Region,BIRTHS,30746.0
2015,15-County Region,BIRTHS,31067.0
2016,15-County Region,BIRTHS,30811.0
2017,15-County Region,BIRTHS,30594.0
2018,15-County Region,BIRTHS,30280.0
2019,15-County Region,BIRTHS,30199.0
2020,15-County Region,BIRTHS,28783.0
2021,15-County Region,BIRTHS,29233.0
2022,15-County Region,BIRTHS,29100.0
2023,15-County Region,BIRTHS,28669.0
2010,Delaware,BIRTHS,2178.0
2011,Delaware,BIRTHS,2088.0
2012,Delaware,BIRTHS,2084.0
2013,Delaware,BIRTHS,2194.0
2014,Delaware,BIRTHS,2213.0
2015,Delaware,BIRTHS,2231.0
2016,Delaware,BIRTHS,2123.0
2017,Delaware,BIRTHS,2120.0
2018,Delaware,BIRTHS,2127.0
2019,Delaware,BIRTHS,2147.0
2020,Delaware,BIRTHS,2014.0
2021,Delaware,BIRTHS,2201.0
2022,Delaware,BIRTHS,2176.0
2023,Delaware,BIRTHS,2148.0
2010,Fairfield,BIRTHS,1642.0
2011,Fairfield,BIRTHS,1678.0
2012,Fairfield,BIRTHS,1637.0
2013,Fairfield,BIRTHS,1727.0
2014,Fairfield,BIRTHS,1598.0
2015,Fairfield,BIRTHS,1749.0
2016,Fairfield,BIRTHS,1679.0
2017,Fairfield,BIRTHS,1821.0
2018,Fairfield,BIRTHS,1719.0
2019,Fairfield,BIRTHS,1772.0
2020,Fairfield,BIRTHS,1642.0
2021,Fairfield,BIRTHS,1729.0
2022,Fairfield,BIRTHS,1743.0
2023,Fairfield,BIRTHS,1718.0
2010,Fayette,BIRTHS,340.0
2011,Fayette,BIRTHS,369.0
2012,Fayette,BIRTHS,380.0
2013,Fayette,BIRTHS,354.0
2014,Fayette,BIRTHS,326.0
2015,Fayette,BIRTHS,365.0
2016,Fayette,BIRTHS,335.0
2017,Fayette,BIRTHS,304.0
2018,Fayette,BIRTHS,365.0
2019,Fayette,BIRTHS,298.0
2020,Fayette,BIRTHS,338.0
2021,Fayette,BIRTHS,319.0
2022,Fayette,BIRTHS,354.0
2023,Fayette,BIRTHS,301.0
2010,Franklin,BIRTHS,17851.0
2011,Franklin,BIRTHS,18046.0
2012,Franklin,BIRTHS,18330.0
2013,Franklin,BIRTHS,18771.0
2014,Franklin,BIRTHS,18880.0
2015,Franklin,BIRTHS,19064.0
2016,Franklin,BIRTHS,18955.0
2017,Franklin,BIRTHS,18800.0
2018,Franklin,BIRTHS,18266.0
2019,Franklin,BIRTHS,18350.0
2020,Franklin,BIRTHS,17498.0
2021,Franklin,BIRTHS,17368.0
2022,Franklin,BIRTHS,17425.0
2023,Franklin,BIRTHS,17056.0
2010,Hocking,BIRTHS,338.0
2011,Hocking,BIRTHS,308.0
2012,Hocking,BIRTHS,322.0
2013,Hocking,BIRTHS,322.0
2014,Hocking,BIRTHS,302.0
2015,Hocking,BIRTHS,325.0
2016,Hocking,BIRTHS,299.0
2017,Hocking,BIRTHS,316.0
2018,Hocking,BIRTHS,286.0
2019,Hocking,BIRTHS,312.0
2020,Hocking,BIRTHS,286.0
2021,Hocking,BIRTHS,272.0
2022,Hocking,BIRTHS,277.0
2023,Hocking,BIRTHS,269.0
2010,Knox,BIRTHS,743.0
2011,Knox,BIRTHS,684.0
2012,Knox,BIRTHS,771.0
2013,Knox,BIRTHS,711.0
2014,Knox,BIRTHS,709.0
2015,Knox,BIRTHS,750.0
2016,Knox,BIRTHS,769.0
2017,Knox,BIRTHS,723.0
2018,Knox,BIRTHS,778.0
2019,Knox,BIRTHS,715.0
2020,Knox,BIRTHS,716.0
2021,Knox,BIRTHS,784.0
2022,Knox,BIRTHS,722.0
2023,Knox,BIRTHS,702.0
2010,Licking,BIRTHS,1991.0
2011,Licking,BIRTHS,1927.0
2012,Licking,BIRTHS,1954.0
